time,open,high,low,close,tick_volume
2023-09-20 13:00:00,1.06982,1.07047,1.06982,1.07027,3230
2023-09-20 14:00:00,1.07027,1.07045,1.06968,1.07012,2771
2023-09-20 15:00:00,1.07012,1.07032,1.06918,1.06975,4579
2023-09-20 16:00:00,1.06975,1.07177,1.06967,1.07165,7472
2023-09-20 17:00:00,1.07165,1.07268,1.07125,1.07192,7584
2023-09-20 18:00:00,1.07192,1.07241,1.07132,1.07139,5027
2023-09-20 19:00:00,1.07139,1.07364,1.07134,1.07348,3933
2023-09-20 20:00:00,1.07349,1.0735,1.0724,1.07249,3340
2023-09-20 21:00:00,1.07248,1.07251,1.0673300000000001,1.06863,33597
2023-09-20 22:00:00,1.06862,1.06886,1.06575,1.06582,11423
2023-09-20 23:00:00,1.06582,1.0662,1.06497,1.06598,2414
2023-09-21 00:00:00,1.06581,1.06625,1.0658,1.06623,1327
2023-09-21 01:00:00,1.06625,1.06638,1.06524,1.06549,1445
2023-09-21 02:00:00,1.06549,1.06549,1.06473,1.06495,1257
2023-09-21 03:00:00,1.06495,1.065,1.06296,1.06309,3766
2023-09-21 04:00:00,1.06309,1.06391,1.06272,1.0637,3697
2023-09-21 05:00:00,1.0637,1.06409,1.06165,1.06268,3914
2023-09-21 06:00:00,1.06268,1.06375,1.06266,1.06362,2026
2023-09-21 07:00:00,1.06362,1.06371,1.06329,1.0636700000000001,1451
2023-09-21 08:00:00,1.0636700000000001,1.06383,1.06323,1.06343,1843
2023-09-21 09:00:00,1.06341,1.06542,1.06332,1.06499,4795
2023-09-21 10:00:00,1.06499,1.06578,1.06383,1.06548,9656
2023-09-21 11:00:00,1.06548,1.06634,1.06518,1.06552,6607
2023-09-21 12:00:00,1.06551,1.06642,1.0651,1.06529,5090
2023-09-21 13:00:00,1.0653,1.06624,1.06466,1.06501,5036
2023-09-21 14:00:00,1.06502,1.06502,1.06332,1.06353,9709
2023-09-21 15:00:00,1.06353,1.06417,1.06237,1.06417,11387
2023-09-21 16:00:00,1.06416,1.06609,1.06384,1.06402,13240
2023-09-21 17:00:00,1.06402,1.06731,1.06374,1.06595,12238
2023-09-21 18:00:00,1.06595,1.06683,1.06547,1.0663,7058
2023-09-21 19:00:00,1.0663,1.06661,1.06541,1.06554,4336
2023-09-21 20:00:00,1.06554,1.06701,1.06552,1.06654,3689
2023-09-21 21:00:00,1.06654,1.06704,1.06609,1.06613,3276
2023-09-21 22:00:00,1.06613,1.06666,1.06585,1.06588,3056
2023-09-21 23:00:00,1.06588,1.06626,1.06571,1.06593,2789
2023-09-22 00:00:00,1.06577,1.06582,1.06564,1.06572,1049
2023-09-22 01:00:00,1.06572,1.06634,1.0657,1.0661100000000001,1078
2023-09-22 02:00:00,1.06612,1.06614,1.06583,1.06599,986
2023-09-22 03:00:00,1.06599,1.06622,1.0653,1.06571,2217
2023-09-22 04:00:00,1.06571,1.06572,1.06406,1.0642800000000001,3133
2023-09-22 05:00:00,1.0642800000000001,1.06512,1.0642,1.06476,3185
2023-09-22 06:00:00,1.06476,1.06526,1.06471,1.06511,1703
2023-09-22 07:00:00,1.06511,1.06565,1.06508,1.06543,1798
2023-09-22 08:00:00,1.06543,1.06572,1.0648900000000001,1.0648900000000001,1918
2023-09-22 09:00:00,1.0648900000000001,1.0659399999999999,1.06468,1.06592,5599
2023-09-22 10:00:00,1.06592,1.06675,1.06146,1.06452,16813
2023-09-22 11:00:00,1.06452,1.06509,1.06389,1.06459,6124
2023-09-22 12:00:00,1.06459,1.06483,1.06336,1.0638,4192
2023-09-22 13:00:00,1.06379,1.06468,1.06342,1.06351,3571
2023-09-22 14:00:00,1.06351,1.06417,1.06351,1.06359,3213
2023-09-22 15:00:00,1.0636,1.06602,1.06359,1.06552,6385
2023-09-22 16:00:00,1.06552,1.06617,1.06418,1.06602,9336
2023-09-22 17:00:00,1.06602,1.06713,1.06569,1.06578,7872
2023-09-22 18:00:00,1.06578,1.06649,1.06532,1.06589,4620
2023-09-22 19:00:00,1.06589,1.06612,1.06545,1.06551,2349
2023-09-22 20:00:00,1.0655000000000001,1.0661100000000001,1.06512,1.06514,2438
2023-09-22 21:00:00,1.06515,1.06523,1.06389,1.06466,2180
2023-09-22 22:00:00,1.06465,1.06508,1.06432,1.06433,2654
2023-09-22 23:00:00,1.06433,1.06468,1.06412,1.06429,1569
2023-09-25 00:00:00,1.06517,1.06524,1.06433,1.06438,549
2023-09-25 01:00:00,1.0644,1.06514,1.06434,1.06487,1710
2023-09-25 02:00:00,1.06487,1.06514,1.06468,1.06479,1328
2023-09-25 03:00:00,1.06479,1.06551,1.06476,1.06542,1936
2023-09-25 04:00:00,1.06541,1.06547,1.0644,1.06463,1827
2023-09-25 05:00:00,1.06464,1.06492,1.06427,1.06486,1829
2023-09-25 06:00:00,1.06486,1.06503,1.0647199999999999,1.06477,1523
2023-09-25 07:00:00,1.06477,1.06502,1.06454,1.06485,875
2023-09-25 08:00:00,1.06485,1.06498,1.06418,1.06436,1581
2023-09-25 09:00:00,1.06437,1.06528,1.06423,1.06458,3512
2023-09-25 10:00:00,1.06458,1.06524,1.06313,1.06376,4944
2023-09-25 11:00:00,1.0637699999999999,1.0642800000000001,1.06237,1.06254,7233
2023-09-25 12:00:00,1.06253,1.06366,1.06236,1.06345,4813
2023-09-25 13:00:00,1.06344,1.06413,1.06336,1.06369,3349
2023-09-25 14:00:00,1.06369,1.06431,1.06289,1.06302,3591
2023-09-25 15:00:00,1.06301,1.06343,1.06188,1.06214,5439
2023-09-25 16:00:00,1.06215,1.0624,1.05955,1.06016,8439
2023-09-25 17:00:00,1.06016,1.06066,1.05751,1.0577,9954
2023-09-25 18:00:00,1.0577,1.05925,1.05756,1.05897,5569
2023-09-25 19:00:00,1.05897,1.05958,1.05872,1.05887,3135
2023-09-25 20:00:00,1.05886,1.0597,1.05882,1.05944,2291
2023-09-25 21:00:00,1.05944,1.05984,1.05852,1.05866,2310
2023-09-25 22:00:00,1.05866,1.0593,1.05851,1.05924,2233
2023-09-25 23:00:00,1.05924,1.05945,1.0590600000000001,1.05913,1359
2023-09-26 00:00:00,1.0591,1.05925,1.05887,1.05903,644
2023-09-26 01:00:00,1.05903,1.05962,1.05899,1.05935,1815
2023-09-26 02:00:00,1.05935,1.05949,1.05908,1.0591,808
2023-09-26 03:00:00,1.05909,1.05917,1.05803,1.05839,2384
2023-09-26 04:00:00,1.05839,1.05874,1.0583,1.05861,2118
2023-09-26 05:00:00,1.05861,1.05871,1.05796,1.05797,2167
2023-09-26 06:00:00,1.05797,1.05863,1.05781,1.05854,1594
2023-09-26 07:00:00,1.05854,1.05925,1.05839,1.05923,1230
2023-09-26 08:00:00,1.05922,1.05925,1.05817,1.05874,1990
